term,justiceName,MQscore,MQrank,MQswing.total,case.load,liberal.vote.total,liberal.vote.pct
2003,AMKennedy,0.739,6,1,79,27,0.34177215189873417
2003,DHSouter,-1.668,3,0,78,48,0.6153846153846154
2003,CThomas,3.864,9,3,79,19,0.24050632911392406
2003,RBGinsburg,-1.77,2,0,79,46,0.5822784810126582
2003,SGBreyer,-1.234,4,0,77,39,0.5064935064935064
2004,WHRehnquist,1.427,7,1,80,24,0.3
2004,JPStevens,-2.857,1,1,80,55,0.6875
2004,SDOConnor,0.114,5,7,80,39,0.4875
2004,AScalia,2.573,8,1,80,33,0.4125
2004,AMKennedy,0.532,6,2,80,39,0.4875
2004,DHSouter,-1.64,3,1,80,57,0.7125
2004,CThomas,3.908,9,2,80,25,0.3125
2004,RBGinsburg,-1.712,2,1,80,56,0.7
2004,SGBreyer,-1.086,4,1,80,47,0.5875
2005,JPStevens,-2.796,1,1,87,52,0.5977011494252874
2005,SDOConnor,0.063,5,2,26,11,0.4230769230769231
2005,AScalia,2.526,8,1,87,28,0.3218390804597701
2005,AMKennedy,0.482,6,5,87,34,0.39080459770114945
2005,DHSouter,-1.566,3,1,87,47,0.5402298850574713
2005,CThomas,3.932,9,0,87,29,0.3333333333333333
2005,RBGinsburg,-1.607,2,0,87,48,0.5517241379310345
2005,SGBreyer,-1.272,4,0,87,50,0.5747126436781609
2005,JGRoberts,1.367,7,0,87,27,0.3103448275862069
2005,SAAlito,1.4,7,0,61,14,0.22950819672131148
2006,JPStevens,-2.769,1,1,75,46,0.6133333333333333
2006,AScalia,2.519,8,0,74,23,0.3108108108108108
2006,AMKennedy,0.439,5,18,75,29,0.38666666666666666
2006,DHSouter,-1.448,3,2,74,44,0.5945945945945946
2006,CThomas,3.888,9,1,75,21,0.28
2006,RBGinsburg,-1.701,2,0,75,48,0.64
2006,SGBreyer,-1.376,4,1,75,42,0.56
2006,JGRoberts,1.396,6,0,75,23,0.30666666666666664
2006,SAAlito,1.424,7,1,75,25,0.3333333333333333
2007,JGRoberts,1.393,6,0,74,29,0.3918918918918919
2007,JPStevens,-2.649,1,2,74,52,0.7027027027027027
2007,AScalia,2.385,8,0,74,26,0.35135135135135137
2007,AMKennedy,0.395,5,8,74,34,0.4594594594594595
2007,DHSouter,-1.513,3,0,74,49,0.6621621621621622
2007,CThomas,3.741,9,2,74,21,0.28378378378378377
2007,RBGinsburg,-1.693,2,0,74,50,0.6756756756756757
2007,SGBreyer,-1.285,4,0,74,45,0.6081081081081081
2007,SAAlito,1.523,7,0,74,29,0.3918918918918919
2008,JGRoberts,1.477,6,0,83,28,0.3373493975903614
2008,JPStevens,-2.808,1,3,83,58,0.6987951807228916
2008,AScalia,2.285,8,0,83,26,0.3132530120481928
2008,AMKennedy,0.548,5,17,83,27,0.3253012048192771
2008,DHSouter,-1.567,3,0,83,50,0.6024096385542169
2008,CThomas,3.502,9,3,83,23,0.27710843373493976
2008,RBGinsburg,-1.732,2,1,83,53,0.6385542168674698
2008,SGBreyer,-1.182,4,0,83,48,0.5783132530120482
2008,SAAlito,1.783,7,0,83,24,0.2891566265060241
2009,JGRoberts,1.357,6,0,93,46,0.4946236559139785
2009,JPStevens,-2.822,1,2,92,60,0.6521739130434783
2009,AScalia,2.273,8,0,93,38,0.40860215053763443
2009,AMKennedy,0.51,5,8,93,45,0.4838709677419355
2009,CThomas,3.355,9,5,93,38,0.40860215053763443
2009,RBGinsburg,-1.681,2,0,93,52,0.5591397849462365
2009,SGBreyer,-1.321,4,0,93,53,0.5698924731182796
2009,SAAlito,1.805,7,0,93,37,0.3978494623655914
2009,SSotomayor,-1.579,3,0,93,53,0.5698924731182796
2009,EKagan,NA,9,0,1,0,0
2010,JGRoberts,1.374,6,0,84,27,0.32142857142857145
